Student_ID,Age,Gender,Lifestyle_Habits,Day,Sleep_Hours,Stress_Level,Study_Hours,Screen_Time_Post_10PM,Physical_Activity_Minutes,Mood_Score,Sleep_Debt,Stress_Per_Study_Hour,Burnout_Risk_Score,Overall_Wellbeing_Score,Sleep_Quality_Score,Mental_Fatigue_Score
S00001_D003,25,Female,Night Owl,3,6.694938785462955,8,4.611797876239505,0.9605072344516934,101,8.4231969908578,0.5619221546636705,1.73,0.14,8.28,6.12,0.86
S00001_D007,25,Female,Night Owl,7,6.683871184590547,5,6.488627030518187,4.291529821985923,55,6.3340424311153525,1.1708928242155339,0.77,-0.16,6.49,6.34,1.75
S00001_D014,25,Female,Night Owl,14,6.587254426355635,6,6.147315064463578,2.12583363993307,91,5.315146747346907,2.775814513012942,0.98,3.46,1.86,6.07,4.07
S00001_D021,25,Female,Night Owl,21,6.92813459255416,5,5.0355452748541,2.753120819822646,54,5.302499722587738,2.355537768091443,0.99,2.05,3.25,6.57,3.37
S00001_D030,25,Female,Night Owl,30,7.03619239894955,8,4.391435756998902,1.0864018542719946,85,4.98789891797922,2.2910503239220947,1.82,5.3,-0.31,6.51,5.16
S00001_D045,25,Female,Night Owl,45,5.9035974572827845,4,4.768031306041801,2.566365037688294,46,3.581776860249011,2.957941597975936,0.84,3.38,0.2,5.68,4.9
S00001_D090,25,Female,Night Owl,90,7.730759376472745,7,0.6725596486292114,2.2626766824139235,35,7.999929103167337,1.6819055696350134,10.41,0.68,7.32,7.38,1.34
S00001_D182,25,Female,Night Owl,182,7.4491840174259645,4,2.3448372865048674,3.1509577322772073,55,4.314715407646963,2.872503614887266,1.71,2.56,1.75,7.03,4.12
S00001_D365,25,Female,Night Owl,365,7.5913275098058515,7,5.934643843415985,2.345787154047351,49,2.8310856514479976,2.7196666542594032,1.18,6.89,-4.06,7.19,7.03
S00002_D003,21,Other,Yoga Enthusiast,3,6.173283104097744,5,3.423879366187162,3.4443977434252684,59,7.815462967769592,1.7171306622060483,1.46,-1.1,8.92,5.86,0.54
S00002_D007,21,Other,Yoga Enthusiast,7,4.877327192697823,7,2.442980509849617,3.1304371184236603,65,5.248917247498011,2.926868743878767,2.87,4.68,0.57,4.66,4.72
S00002_D014,21,Other,Yoga Enthusiast,14,6.360794687326277,2,3.483633851299942,2.4188632257351035,97,4.620324187979994,1.1797342688931243,0.57,-1.44,6.06,5.84,1.97
S00002_D021,21,Other,Yoga Enthusiast,21,6.756140469200417,8,4.16696165246397,2.7789305796870947,48,4.559691169985811,1.848557543980574,1.92,5.29,-0.73,6.44,5.37
S00002_D030,21,Other,Yoga Enthusiast,30,5.085711681968821,2,5.0283210032194665,1.873254021865445,30,3.458675434426115,1.7767426703371532,0.4,0.32,3.14,5.03,3.43
S00002_D045,21,Other,Yoga Enthusiast,45,6.555962992561869,8,4.892729777703849,4.53515932947323,56,6.214365949144846,2.218620320155671,1.64,4.0,2.21,6.22,3.89
S00002_D090,21,Other,Yoga Enthusiast,90,6.256381604668393,7,5.469444388862119,2.4120147530216096,52,6.080883326981315,2.6622105522802535,1.28,3.58,2.5,5.97,3.75
S00002_D182,21,Other,Yoga Enthusiast,182,6.374314158943751,8,4.022002913328597,1.9946080543965388,35,4.123328395336756,2.693116818314735,1.99,6.57,-2.45,6.16,6.22
S00002_D365,21,Other,Yoga Enthusiast,365,5.264049822336959,7,2.165088539174727,3.5993103173765557,51,2.4979444182681285,2.9795711958778393,3.23,7.48,-4.98,5.08,7.49
S00003_D003,25,Other,Occasional Drinker,3,6.00165923075769,7,3.5542917627681225,2.330237753490524,33,5.548930983235486,1.929377728073882,1.97,3.38,2.17,5.84,3.92
S00003_D007,25,Other,Occasional Drinker,7,5.026925430570316,7,3.7756705217288786,5.425016372126953,51,5.804744205271452,1.669530318634902,1.85,2.86,2.94,4.87,3.53
S00003_D014,25,Other,Occasional Drinker,14,7.769059146147029,2,4.230792377394816,2.2709298335318575,4,5.088826668270323,1.5535849381351121,0.47,-1.54,6.63,7.57,1.69
S00003_D021,25,Other,Occasional Drinker,21,7.063044063915585,6,2.5633983651381853,2.807927225741564,48,1.0,1.5436325112877793,2.34,6.54,-5.54,6.72,7.77
S00003_D030,25,Other,Occasional Drinker,30,7.607855106891922,5,7.240480979665236,3.986217934199642,66,5.881094418586818,2.3937095460899616,0.69,1.51,4.37,7.12,2.81
S00003_D045,25,Other,Occasional Drinker,45,4.872100773668285,6,5.965971492023754,1.7059240130814992,53,6.545267374091816,2.218191247866805,1.01,1.67,4.88,4.72,2.56
